,Estudo,Renda,UF,SEXO,COR,Idade,Altura
0,12,800,RO,M,PAR,23,1.603807616
1,12,1150,RO,F,BRA,23,1.739789827
2,15,880,RO,F,PAR,35,1.760443822
3,6,3500,RO,M,BRA,46,1.783157945
4,9,150,RO,F,PAR,47,1.690630954
5,12,790,RO,F,PAR,34,1.637905598
6,12,3150,RO,M,PAR,57,1.570078218
7,12,1700,RO,F,PAR,60,1.608495442
8,14,1800,RO,F,PRE,50,1.780328883
9,12,1150,RO,M,PAR,26,1.793202625
10,12,3000,RO,F,PAR,46,1.787003282
11,6,2500,RO,F,PAR,49,1.712911548
12,6,1200,RO,F,BRA,52,1.736442076
13,12,2000,RO,M,PAR,38,1.750826666
14,12,2000,RO,M,BRA,45,1.780450392
15,16,6000,RO,M,BRA,34,1.711825037
16,10,1050,RO,F,PAR,43,1.789011804
17,16,7000,RO,M,PAR,53,1.673665133
18,12,2000,RO,M,BRA,57,1.715137632
19,12,1150,RO,F,PAR,62,0.176597309
20,1,3030,RO,M,PAR,69,1.746351196
21,16,4000,RO,F,PAR,41,1.660873129
22,5,788,RO,M,PAR,34,1.746048026
23,12,1000,RO,M,PAR,25,1.726496158
24,9,800,RO,M,PAR,33,1.778913561
25,5,788,RO,F,PAR,44,1.668637941
26,16,1600,RO,M,BRA,33,1.783770601
27,12,1700,RO,M,BRA,65,1.873445247
28,14,2000,RO,M,PAR,33,1.890250314
29,12,2400,RO,M,PAR,32,1.660204145
30,5,3000,RO,M,PAR,43,1.636361741
31,1,920,RO,M,PAR,30,1.685590822
32,10,1300,RO,M,BRA,26,0.168402625
33,15,2000,RO,M,BRA,52,0.167104419
34,1,1300,RO,M,PAR,62,1.632129706
35,5,600,RO,M,AME,64,1.712121503
36,7,1200,RO,M,PAR,31,1.763447989
37,3,1000,RO,M,BRA,63,1.694500204
38,9,1000,RO,F,BRA,40,1.705147683
39,9,1500,RO,M,PRE,47,1.672258066
40,7,900,RO,M,BRA,34,1.645452653
41,6,900,RO,M,PAR,33,1.814785789
42,6,0,RO,M,PAR,63,1.652746296
43,2,300,RO,F,PAR,40,1.757341995
44,6,1600,RO,M,PAR,41,1.611286043
45,10,1500,RO,M,BRA,28,1.693976403
46,12,750,RO,F,PAR,32,1.684819452
47,1,800,RO,M,BRA,44,1.701974845
48,12,3600,RO,F,BRA,38,1.599083153
49,4,1500,RO,M,BRA,41,1.646862718
50,8,3000,RO,M,PAR,62,1.752071058
51,7,2300,RO,M,PAR,37,1.576576371
52,12,1500,RO,M,BRA,41,1.697451547
53,12,4500,RO,M,PAR,41,1.573698003
54,16,4800,RO,F,BRA,46,1.727453392
55,12,900,RO,F,PAR,46,1.663525091
