,0
0,"('  ', 'PROD000001     ', 'PRODUTO ACD                   ', 'PA', '                           ', 'UN', '01', '    ', 0.0, 0.0, '          ', '  ', '   ', '   ', 0.0, '         ', '   ', '   ', 0.0, 0.0, ' ', '                    ', '  ', 0.0, 'M', '               ', 0.0, 0.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 50.0, 0.0, '   ', '   ', 0.0, ' ', 776.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 1.0, '  ', ' ', 'N', ' ', '  ', ' ', 'N', '20180709', '20180709', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '20180711', ' ', ' ', 'PROD0017       ', ' ', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '      ', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', ' 0#  0@  00„ 00K ', ' 0#  0@  00Š 00z ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', ' ', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 1, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
1,"('  ', 'PROD000002     ', 'MATERIA PRIMA                 ', 'MP', '                           ', 'UN', '01', '    ', 0.0, 0.0, '          ', '  ', '   ', '   ', 0.0, '         ', '   ', '   ', 0.0, 0.0, ' ', '                    ', '  ', 0.0, 'M', '               ', 0.0, 0.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 100.0, 0.0, '   ', '   ', 0.0, ' ', 0.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '  ', ' ', 'N', ' ', '  ', ' ', 'N', '20180709', '20180709', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '20180709', ' ', ' ', 'PROD0024       ', ' ', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '      ', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', ' 0#  0@  00„ 00K ', ' 0#  0@  00Š 00z ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', ' ', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 2, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
2,"('  ', 'PROD000003     ', 'OMS                           ', 'PA', '                           ', 'L ', '01', '    ', 0.0, 0.0, '          ', '  ', '   ', '   ', 0.0, '         ', '001', '   ', 0.0, 0.0, ' ', '                    ', '  ', 0.0, 'M', '               ', 0.0, 0.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 1.1, 0.0, '   ', '   ', 0.0, ' ', 86.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '  ', ' ', 'N', ' ', '  ', ' ', 'N', '20180711', '20180711', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '20180711', ' ', ' ', 'PROD0031       ', ' ', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '      ', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 1.2, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', ' 0#  0@  00„ 00M ', ' 0#  0@  00Š 00z ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', ' ', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 3, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
3,"('  ', 'PROD000004     ', 'OMS 02                 ', 'PA', '                           ', 'UN', '01', '    ', 0.0, 5.0, '          ', '  ', '   ', '   ', 0.0, '         ', '   ', '   ', 0.0, 0.0, ' ', '                    ', '  ', 0.0, 'M', '               ', 0.0, 0.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 75.0, 0.0, '   ', '   ', 0.0, ' ', 3.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '  ', ' ', 'N', ' ', '  ', ' ', 'N', '20180716', '20180716', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '20180716', ' ', ' ', '               ', ' ', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '      ', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 10.0, '000002', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', ' 0#  0@  10„ 10R ', ' 0#  0@  00Š 00z ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', ' ', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 4, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
4,"('  ', '000700001      ', 'ALIMENTOS                     ', 'PA', '                           ', 'UN', '01', '0007', 0.0, 0.0, '          ', '  ', '   ', '   ', 0.0, '         ', '   ', '   ', 0.0, 0.0, ' ', '                    ', '  ', 0.0, 'M', '               ', 0.0, 0.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 0.0, 0.0, '   ', '   ', 0.0, ' ', 0.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '  ', ' ', 'N', ' ', '  ', ' ', 'N', '20180814', '20180814', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '        ', ' ', ' ', '               ', ' ', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '      ', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', ' 0#  0@  00„ 00o ', '                 ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', ' ', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 5, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
5,"('  ', '001000001      ', 'PRODUTO DE CALCULO TMS        ', 'PA', '                           ', 'UN', '01', '0010', 0.0, 0.0, '          ', '  ', '   ', '   ', 0.0, '         ', '   ', '   ', 0.0, 0.0, ' ', '                    ', '  ', 0.0, 'M', '               ', 0.0, 0.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 0.0, 0.0, '   ', '   ', 0.0, ' ', 0.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '  ', ' ', 'N', ' ', '  ', ' ', 'N', '20180814', '20180814', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '        ', ' ', ' ', '               ', ' ', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '      ', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', ' 0#  0@  00„ 00o ', '                 ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', ' ', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 6, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
6,"('  ', 'TESTE      0202', 'TESTE M/GG                    ', 'PA', '                           ', 'UN', '01', '    ', 0.0, 0.0, '          ', '  ', '   ', '   ', 0.0, '         ', '   ', '501', 0.0, 0.0, ' ', '                    ', 'PC', 12.0, 'D', '               ', 0.0, 10.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 10.0, 0.0, '   ', '   ', 0.0, ' ', 0.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '    ', ' ', 'N', ' ', '  ', ' ', 'N', '20180925', '20180925', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '        ', ' ', ' ', '               ', 'S', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '      ', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', '                 ', '                 ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', '2', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 7, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
7,"('  ', 'TESTE      0211', 'TESTE M/M                     ', 'PA', '                           ', 'UN', '01', '    ', 0.0, 0.0, '          ', '  ', '   ', '   ', 0.0, '         ', '   ', '501', 0.0, 0.0, ' ', '                    ', 'PC', 12.0, 'D', '               ', 0.0, 10.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 10.0, 0.0, '   ', '   ', 0.0, ' ', 0.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '    ', ' ', 'N', ' ', '  ', ' ', 'N', '20180925', '20180925', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '        ', ' ', ' ', '               ', 'S', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '      ', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', '                 ', '                 ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', '2', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 8, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
8,"('  ', 'TESTE      1102', 'TESTE P/GG                    ', 'PA', '                           ', 'UN', '01', '    ', 0.0, 0.0, '          ', '  ', '   ', '   ', 0.0, '         ', '   ', '501', 0.0, 0.0, ' ', '                    ', 'PC', 12.0, 'D', '               ', 0.0, 10.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 10.0, 0.0, '   ', '   ', 0.0, ' ', 0.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '    ', ' ', 'N', ' ', '  ', ' ', 'N', '20180925', '20180925', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '        ', ' ', ' ', '               ', 'S', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '      ', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', '                 ', '                 ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', '2', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 9, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
9,"('  ', 'TESTE      1111', 'TESTE P/M                     ', 'PA', '                           ', 'UN', '01', '    ', 0.0, 0.0, '          ', '  ', '   ', '   ', 0.0, '         ', '   ', '501', 0.0, 0.0, ' ', '                    ', 'PC', 12.0, 'D', '               ', 0.0, 10.0, 0.0, 0.0, '        ', 0.0, '1', '        ', 10.0, 0.0, '   ', '   ', 0.0, ' ', 0.0, 0.0, '                    ', 0.0, '         ', '         ', ' ', '      ', 0.0, '    ', ' ', 'N', ' ', '  ', ' ', 'N', '20180925', '20180925', ' ', 0.0, ' ', 0.0, '        ', '      ', 'S', 0.0, 0.0, 0.0, '        ', ' ', ' ', '               ', 'S', '   ', '          ', 'N', '  ', '      ', 'N', '      ', '      ', 0.0, 'N', '2', '                                                                                ', '      ', '  ', '                    ', '               ', '  ', ' ', '   ', '               ', 'M', 'N', '2', '      ', ' ', 'N', '              ', '                                                            ', 0.0, 0.0, '   ', 'N', '                              ', '                                                                                ', '                    ', 0.0, '       ', 0.0, '        ', '   ', '  ', '   ', 0.0, 0.0, '        ', 0.0, 0.0, 0.0, 0.0, 0.0, '1', '1', '2', 0.0, 0.0, '0', '                    ', 0.0, 0.0, '          ', '                                                  ', '                    ', '   ', '                                        ', '         ', 'S', 0.0, 0.0, '      ', 0.0, 0.0, 0.0, 0.0, '   ', '      ', '      ', '               ', '      ', '      ', '      ', '      ', '2', 0.0, 0.0, 0.0, ' ', ' ', 0.0, '    ', '1', ' ', ' ', '   ', '    ', 0.0, 0.0, '2', '        ', '         ', '      ', 0.0, '      ', 0.0, 'P', 0.0, ' ', '             ', '2', ' ', '      ', 0.0, ' ', '  ', '        ', '      ', None, '3', '0', '          ', '         ', 0.0, 0.0, ' ', '        ', 0.0, '  ', '        ', 0.0, ' ', '  ', ' ', 0.0, 0.0, ' ', '                 ', '                 ', '        ', '           ', '  ', 0.0, '                         ', 0.0, 0.0, '2', '2', '2', '         ', 0.0, 0.0, '2', 0.0, '          ', '               ', ' ', 'N', '               ', ' ', 0.0, '              ', '      ', '          ', 0.0, 0.0, 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', 0.0, ' ', ' ', '        ', '                                ', ' ', ' ', ' ', ' ', ' ', ' ', '               ', '                                                            ', '              ', '                    ', 0.0, ' ', '  ', 0.0, 'S', '      ', '2', '                    ', '  ', '2', '      ', 0.0, ' ', 0.0, ' ', 10, 0, '1', 0.0, '               ', 0.0, '  ', 0.0, 0.0, '       ', '   ', '    ', ' ', '   ', '   ')"
